,Transcripts,Enzyme,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads,Sample_ID,Size_fraction_upper_threshold_micrometre,Total_transcripts_per_million_sequences,Station
1204,2.42e-07,alma1,Southern Ocean (S of 40S),242.0,,,,
1205,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
1206,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
1207,0.0,alma1,Southern Ocean (S of 40S),0.0,,,,
1225,1.55e-06,alma1,Southern Ocean (S of 40S),1550.0,,,,
1226,7.35e-07,alma1,Southern Ocean (S of 40S),735.0,,,,
1227,2.65e-06,alma1,Southern Ocean (S of 40S),2650.0,,,,
1228,2.7000000000000004e-06,alma1,Southern Ocean (S of 40S),2700.0,,,,
1229,1.05e-06,alma1,Southern Ocean (S of 40S),1050.0,,,,
1230,1.61e-06,alma1,Southern Ocean (S of 40S),1610.0,,,,
1231,0.0,alma1,South Pacific Ocean,0.0,,,,
1232,5.74e-08,alma1,South Pacific Ocean,57.40000000000001,,,,
1233,2.33e-07,alma1,South Pacific Ocean,233.0,,,,
1234,5.74e-08,alma1,South Pacific Ocean,57.40000000000001,,,,
1235,0.0,alma1,South Pacific Ocean,0.0,,,,
1236,1.45e-07,alma1,Indian Ocean,145.0,,,,
1237,0.0,alma1,Indian Ocean,0.0,,,,
1238,0.0,alma1,Indian Ocean,0.0,,,,
1239,0.0,alma1,Indian Ocean,0.0,,,,
1240,0.0,alma1,Indian Ocean,0.0,,,,
1241,0.0,alma1,Indian Ocean,0.0,,,,
1242,1.32e-07,alma1,Indian Ocean,132.0,,,,
1253,4.6500000000000006e-08,alma1,South Atlantic Ocean,46.50000000000001,,,,
1254,1.3e-07,alma1,South Atlantic Ocean,130.0,,,,
1255,2.95e-07,alma1,South Atlantic Ocean,295.0,,,,
1256,0.0,alma1,South Pacific Ocean,0.0,,,,
1257,1.67e-07,alma1,South Pacific Ocean,167.0,,,,
1258,0.0,alma1,South Pacific Ocean,0.0,,,,
1259,0.0,alma1,South Pacific Ocean,0.0,,,,
1260,0.0,alma1,South Pacific Ocean,0.0,,,,
1261,0.0,alma1,South Pacific Ocean,0.0,,,,
1262,8.09e-08,alma1,South Pacific Ocean,80.9,,,,
1265,0.0,alma1,North Pacific Ocean,0.0,,,,
1266,0.0,alma1,North Pacific Ocean,0.0,,,,
1267,0.0,alma1,North Pacific Ocean,0.0,,,,
1268,0.0,alma1,North Pacific Ocean,0.0,,,,
1273,1.19e-05,alma1,Southern Ocean (S of 40S),11900.000000000002,,,,
1274,7.89e-06,alma1,Southern Ocean (S of 40S),7890.000000000001,,,,
1275,1.74e-05,alma1,Southern Ocean (S of 40S),17400.0,,,,
1276,8.26e-06,alma1,Southern Ocean (S of 40S),8260.0,,,,
1277,1.24e-06,alma1,Southern Ocean (S of 40S),1240.0,,,,
1278,1.92e-05,alma1,Southern Ocean (S of 40S),19200.0,,,,
1279,2.73e-06,alma1,Southern Ocean (S of 40S),2730.0,,,,
1280,8.95e-07,alma1,Southern Ocean (S of 40S),895.0,,,,
1281,2.94e-06,alma1,Southern Ocean (S of 40S),2940.0,,,,
1282,1.21e-06,alma1,Southern Ocean (S of 40S),1210.0,,,,
1283,1.93e-06,alma1,Southern Ocean (S of 40S),1930.0,,,,
1284,3.17e-06,alma1,Southern Ocean (S of 40S),3170.0,,,,
1295,0.0,alma1,North Pacific Ocean,0.0,,,,
1296,1.32e-07,alma1,North Pacific Ocean,132.0,,,,
1297,0.0,alma1,North Pacific Ocean,0.0,,,,
1298,0.0,alma1,North Pacific Ocean,0.0,,,,
1299,3.88e-08,alma1,North Pacific Ocean,38.8,,,,
1300,0.0,alma1,North Pacific Ocean,0.0,,,,
1306,4.82e-08,alma1,Indian Ocean,48.2,,,,
1307,0.0,alma1,Indian Ocean,0.0,,,,
1308,0.0,alma1,Indian Ocean,0.0,,,,
1309,2.46e-08,alma1,Indian Ocean,24.6,,,,
1310,7.55e-08,alma1,Indian Ocean,75.5,,,,
0,,,,,ERR598943,3.0,0.0376766384420921,102.0
1,,,,,ERR598945,3.0,0.0,84.0
2,,,,,ERR598952,3.0,0.0,109.0
3,,,,,ERR598953,3.0,0.0,100.0
4,,,,,ERR598956,3.0,0.0,123.0
5,,,,,ERR598976,3.0,0.0,151.0
6,,,,,ERR598977,1.6,0.0,41.0
