,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
189,Tara_Oceans,ERR598988,dddP,2491,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,102.91975196959525,81.6823428330121
190,Tara_Oceans,ERR598999,dddP,3788,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,135.53679620067604,107.5688858735524
191,Tara_Oceans,ERR599004,dddP,2586,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,112.36092728266698,89.17533911322776
192,Tara_Oceans,ERR599010,dddP,517,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,25.877084250230503,20.53736845256389
193,Tara_Oceans,ERR599011,dddP,1506,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,75.42126230553484,59.85814468693241
194,Tara_Oceans,ERR599015,dddP,2771,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,99.7926394663359,79.20050751296499
195,Tara_Oceans,ERR599016,dddP,1802,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,84.53926499348668,67.09465475673547
196,Tara_Oceans,ERR599022,dddP,1194,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,55.86734117357071,44.339159661564054
197,Tara_Oceans,ERR599027,dddP,1710,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,89.48480302092322,71.01968493724065
198,Tara_Oceans,ERR599031,dddP,1489,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,91.49441721220751,72.61461683508533
199,Tara_Oceans,ERR599035,dddP,2058,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,55.227378739541614,43.83125296789017
200,Tara_Oceans,ERR599067,dddP,2975,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,154.10861865529637,122.30842750420346
201,Tara_Oceans,ERR599098,dddP,904,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,55.053309142357136,43.693102493934234
202,Tara_Oceans,ERR599102,dddP,4773,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,94.30591998744326,74.84596824400259
203,Tara_Oceans,ERR599104,dddP,1316,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,72.89844609428572,57.85590959863946
204,Tara_Oceans,ERR599109,dddP,2914,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,112.32402729666595,89.14605341005233
205,Tara_Oceans,ERR599113,dddP,1630,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,109.19525907680567,86.66290402921085
206,Tara_Oceans,ERR599169,dddP,2525,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,114.01574564220532,90.48868701762328
207,Tara_Oceans,ERR599176,dddP,1348,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,68.16297889612483,54.09760229851177
208,Tara_Oceans,ERR598943,dddQ,279,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,10.511782125343696,18.24962174538836
209,Tara_Oceans,ERR598945,dddQ,47,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,2.4145633721935904,4.191950298947206
210,Tara_Oceans,ERR598952,dddQ,156,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,11.398369507081895,19.788835949794958
211,Tara_Oceans,ERR598953,dddQ,122,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,5.172899282421348,8.980727920870395
