,Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Gene,Percentage_of_genome_equivalents
1602,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddL,0.0
702,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddP,2.21
1152,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddQ,0.66
927,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dddW,0.0
252,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,dmdA,30.63
27,ERX555933,TARA_111,SRF,SPSG,-16.9601,-100.6335,5,recA_hits,10936.0
1378,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddD,2.48
478,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddK,0.0
1603,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddL,0.0
703,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddP,2.2
1153,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddQ,0.0
928,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dddW,0.0
253,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,dmdA,19.0
28,ERX555934,TARA_072,SRF,SATL,-8.7789,-17.9099,5,recA_hits,1189.0
1379,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddD,0.37
479,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddK,0.0
1604,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddL,0.0
704,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddP,5.39
1154,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddQ,0.0
929,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddW,0.0
254,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dmdA,6.91
29,ERX555936,TARA_122,MES,SPSG,-8.9729,-139.2393,600,recA_hits,1600.0
1380,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddD,1.9
480,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddK,0.0
1605,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddL,0.0
705,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddP,3.3
1155,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddQ,0.0
930,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dddW,0.0
255,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,dmdA,13.37
30,ERX555937,TARA_137,MES,PNEC,14.2025,-116.6433,375,recA_hits,2785.0
1381,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddD,1.04
481,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddK,1.47
1606,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddL,0.0
706,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddP,0.86
