,Name,Replicate,Time_min,Calc_conc,Real_conc,Date,Volume_rxn,Volume_capsule,ID,Name_Rep,Real_conc_max,f_R
19,DddY,c,0,10.01,100.1,20190831,,,DddY_0_c,DddY_c,100.1,1.0
47,DddY,c,4,6.910186195,69.10186195,20190831,,,DddY_4_c,DddY_c,100.1,0.6903282912087912
46,DddY,c,11,5.4832167510000005,54.832167510000005,20190831,,,DddY_11_c,DddY_c,100.1,0.5477739011988013
45,DddY,c,18,4.09105144,40.910514400000004,20190831,,,DddY_18_c,DddY_c,100.1,0.4086964475524476
44,DddY,c,25,3.151339855,31.513398549999998,20190831,,,DddY_25_c,DddY_c,100.1,0.31481916633366636
43,DddY,c,35,2.7990832869999998,27.99083287,20190831,,,DddY_35_c,DddY_c,100.1,0.2796287
42,DddY,c,43,2.568149425,25.68149425,20190831,,,DddY_43_c,DddY_c,100.1,0.2565583841158841
41,DddY,c,51,2.257276919,22.572769190000002,20190831,,,DddY_51_c,DddY_c,100.1,0.22550218971028974
66,DmdA,a,0,,206.3445209,20190930,,,DmdA_0_a,DmdA_a,206.3445209,1.0
67,DmdA,a,3,,174.4335969,20190930,380.0,28.22970068,DmdA_3_a,DmdA_a,206.3445209,0.8453512414053151
68,DmdA,a,15,,156.5148112,20190930,530.0,22.55738203,DmdA_15_a,DmdA_a,206.3445209,0.7585120773613911
69,DmdA,a,25,,97.83631857,20190930,580.0,32.97553954,DmdA_25_a,DmdA_a,206.3445209,0.47414061756170434
70,DmdA,a,38,,85.0,20190930,600.0,36.69017896,DmdA_38_a,DmdA_a,206.3445209,0.4119324304287839
71,DmdA,a,51,,76.0,20190930,380.0,64.54163716,DmdA_51_a,DmdA_a,206.3445209,0.3683160554422068
84,DmdA,b,0,,209.61908640000001,20191001,,,DmdA_0_b,DmdA_b,209.61908640000001,1.0
85,DmdA,b,3,,164.9137264,20191001,360.0,24.79628855,DmdA_3_b,DmdA_b,209.61908640000001,0.7867304892518604
86,DmdA,b,15,,152.8090003,20191001,380.0,29.85929877,DmdA_15_b,DmdA_b,209.61908640000001,0.7289841918708029
87,DmdA,b,25,,102.2436743,20191001,360.0,34.01485084,DmdA_25_b,DmdA_b,209.61908640000001,0.48775937370939704
88,DmdA,b,38,,82.95182891,20191001,430.0,35.59796367,DmdA_38_b,DmdA_b,209.61908640000001,0.3957265072308797
89,DmdA,b,51,,73.0,20191001,580.0,21.09295073,DmdA_51_b,DmdA_b,209.61908640000001,0.34825073066438095
90,DmdA,c,0,,197.910786,20191001,,,DmdA_0_c,DmdA_c,197.910786,1.0
91,DmdA,c,3,,166.245308,20191001,360.0,24.79628855,DmdA_3_c,DmdA_c,197.910786,0.8400012518771968
92,DmdA,c,15,,159.3073177,20191001,380.0,29.85929877,DmdA_15_c,DmdA_c,197.910786,0.8049451013751217
93,DmdA,c,25,,96.72333055,20191001,360.0,34.01485084,DmdA_25_c,DmdA_c,197.910786,0.48872187567382
94,DmdA,c,38,,86.49548631,20191001,430.0,35.59796367,DmdA_38_c,DmdA_c,197.910786,0.4370428113503627
95,DmdA,c,51,,68.0,20191001,580.0,21.09295073,DmdA_51_c,DmdA_c,197.910786,0.34358915637877363
