Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007
Tara_Oceans,ERR599011,dddQ,109,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddQ,151,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddQ,106,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dddQ,102,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddQ,89,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddQ,10,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddQ,101,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddQ,84,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddQ,105,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddQ,277,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddQ,9,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddQ,19,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddQ,86,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddQ,325,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddQ,13,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dddY,0,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dddY,0,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dddY,0,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dddY,6,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
